"","UF","code_muni","Municipios","nome_municipio","IEGM_2017","IEGM_2019","IEGM_2021","IEGM_2023","IEGM_media"
"1","Pernambuco","2600054","Abreu e Lima","abreu e lima",0.4775,0.463,NA,0.447,0.4625
"2","Pernambuco","2600104","Afogados da Ingazeira","afogados da ingazeira",0.6395,0.585,0.6105,0.41,0.56125
"3","Pernambuco","2600203","Afrânio","afranio",0.4635,0.635,0.6705,NA,0.589666666666667
"4","Pernambuco","2600302","Agrestina","agrestina",0.556,0.5215,0.553,0.3765,0.50175
"5","Pernambuco","2600401","Água Preta","agua preta",0.528,0.4675,0.426,NA,0.473833333333333
"6","Pernambuco","2600500","Águas Belas","aguas belas",0.5785,0.469,0.566,NA,0.537833333333333
"7","Pernambuco","2600609","Alagoinha","alagoinha",0.508,0.5015,0.4765,0.325,0.45275
"8","Pernambuco","2600708","Aliança","alianca",0.4125,0.4425,0.4885,NA,0.447833333333333
"9","Pernambuco","2600807","Altinho","altinho",0.479,0.479,0.4715,0.296,0.431375
"10","Pernambuco","2600906","Amaraji","amaraji",0.4585,0.4505,0.466,0.3715,0.436625
"11","Pernambuco","2601003","Angelim","angelim",0.4925,0.6085,0.5425,0.3065,0.4875
"12","Pernambuco","2601052","Araçoiaba","aracoiaba",0.5345,0.6835,0.5505,NA,0.5895
"13","Pernambuco","2601102","Araripina","araripina",0.578,0.5065,0.6245,0.4505,0.539875
"14","Pernambuco","2601201","Arcoverde","arcoverde",0.5475,0.581,0.53,0.4435,0.5255
"15","Pernambuco","2601300","Barra de Guabiraba","barra de guabiraba",0.6225,0.5175,0.548,0.364,0.513
"16","Pernambuco","2601409","Barreiros","barreiros",0.5255,0.4825,0.4065,0.3635,0.4445
"17","Pernambuco","2601508","Belém de Maria","belem de maria",0.5175,0.5475,0.5845,NA,0.549833333333333
"18","Pernambuco","2601607","Belém do São Francisco","belem do sao francisco",NA,NA,NA,NA,NA
"19","Pernambuco","2601706","Belo Jardim","belo jardim",0.538,0.442,0.4725,0.4365,0.47225
"20","Pernambuco","2601805","Betânia","betania",0.533,0.5065,0.5085,NA,0.516
"21","Pernambuco","2601904","Bezerros","bezerros",NA,0.449,0.625,0.404,0.492666666666667
"22","Pernambuco","2602001","Bodocó","bodoco",0.522,0.5295,0.425,NA,0.492166666666667
"23","Pernambuco","2602100","Bom Conselho","bom conselho",0.5165,0.502,0.578,0.344,0.485125
"24","Pernambuco","2602209","Bom Jardim","bom jardim",0.4655,0.5265,0.5455,0.372,0.477375
"25","Pernambuco","2602308","Bonito","bonito",0.5455,0.475,0.597,0.3845,0.5005
"26","Pernambuco","2602407","Brejão","brejao",0.4915,0.524,0.52,NA,0.511833333333333
"27","Pernambuco","2602506","Brejinho","brejinho",0.5135,0.522,0.5025,0.361,0.47475
"28","Pernambuco","2602605","Brejo da Madre de Deus","brejo da madre de deus",0.4985,0.5,0.4325,0.39,0.45525
"29","Pernambuco","2602704","Buenos Aires","buenos aires",0.523,0.462,0.566,0.313,0.466
"30","Pernambuco","2602803","Buíque","buique",0.5105,0.574,0.592,NA,0.558833333333333
"31","Pernambuco","2602902","Cabo de Santo Agostinho","cabo de santo agostinho",0.5335,0.5935,0.4495,0.3455,0.4805
"32","Pernambuco","2603009","Cabrobó","cabrobo",0.5035,0.4515,0.5235,NA,0.492833333333333
"33","Pernambuco","2603108","Cachoeirinha","cachoeirinha",NA,0.5785,0.6835,0.419,0.560333333333333
"34","Pernambuco","2603207","Caetés","caetes",0.5635,0.508,0.4695,NA,0.513666666666667
"35","Pernambuco","2603306","Calçado","calcado",NA,0.4405,0.4935,NA,0.467
"36","Pernambuco","2603405","Calumbi","calumbi",0.466,0.4085,0.5865,0.354,0.45375
"37","Pernambuco","2603454","Camaragibe","camaragibe",0.645,0.53,0.5505,0.3775,0.52575
"38","Pernambuco","2603504","Camocim de São Félix","camocim de sao felix",0.4995,0.5095,0.531,NA,0.513333333333333
"39","Pernambuco","2603603","Camutanga","camutanga",0.493,0.5505,0.571,0.384,0.499625
"40","Pernambuco","2603702","Canhotinho","canhotinho",0.46,0.4035,0.549,0.4095,0.4555
"41","Pernambuco","2603801","Capoeiras","capoeiras",NA,0.5025,0.495,0.3855,0.461
"42","Pernambuco","2603900","Carnaíba","carnaiba",0.5455,0.5655,0.6115,NA,0.574166666666667
"43","Pernambuco","2603926","Carnaubeira da Penha","carnaubeira da penha",0.577,0.5105,0.45,0.345,0.470625
"44","Pernambuco","2604007","Carpina","carpina",0.448,0.4955,0.496,0.274,0.428375
"45","Pernambuco","2604106","Caruaru","caruaru",0.5435,0.658,0.6655,0.491,0.5895
"46","Pernambuco","2604155","Casinhas","casinhas",NA,0.435,0.5215,0.4765,0.477666666666667
"47","Pernambuco","2604205","Catende","catende",NA,0.3895,0.409,0.3285,0.375666666666667
"48","Pernambuco","2604304","Cedro","cedro",0.4205,0.431,0.458,0.3075,0.40425
"49","Pernambuco","2604403","Chã de Alegria","cha de alegria",NA,0.5825,0.5845,NA,0.5835
"50","Pernambuco","2604502","Chã Grande","cha grande",0.557,0.424,0.51,NA,0.497
"51","Pernambuco","2604601","Condado","condado",0.485,0.556,0.5005,0.3285,0.4675
"52","Pernambuco","2604700","Correntes","correntes",0.5575,0.4225,0.439,0.3355,0.438625
"53","Pernambuco","2604809","Cortês","cortes",NA,0.44,0.5185,NA,0.47925
"54","Pernambuco","2604908","Cumaru","cumaru",0.5315,0.555,0.61,0.444,0.535125
"55","Pernambuco","2605004","Cupira","cupira",0.617,0.575,0.5365,0.388,0.529125
"56","Pernambuco","2605103","Custódia","custodia",0.476,0.4965,0.5445,NA,0.505666666666667
"57","Pernambuco","2605152","Dormentes","dormentes",0.5085,0.4085,0.4805,0.2875,0.42125
"58","Pernambuco","2605202","Escada","escada",0.537,0.343,0.4275,0.3675,0.41875
"59","Pernambuco","2605301","Exu","exu",0.5925,0.4845,0.569,0.3095,0.488875
"60","Pernambuco","2605400","Feira Nova","feira nova",0.473,0.6145,0.6205,0.436,0.536
"61","Pernambuco","2605459","Fernando de Noronha","fernando de noronha",NA,NA,NA,NA,NA
"62","Pernambuco","2605509","Ferreiros","ferreiros",0.5485,0.486,0.5115,0.352,0.4745
"63","Pernambuco","2605608","Flores","flores",0.5315,0.5855,0.591,0.353,0.51525
"64","Pernambuco","2605707","Floresta","floresta",0.5505,0.418,0.396,0.3625,0.43175
"65","Pernambuco","2605806","Frei Miguelinho","frei miguelinho",0.432,0.482,0.6135,0.311,0.459625
"66","Pernambuco","2605905","Gameleira","gameleira",0.542,0.482,0.416,0.412,0.463
"67","Pernambuco","2606002","Garanhuns","garanhuns",0.5415,0.667,0.5455,0.4225,0.544125
"68","Pernambuco","2606101","Glória do Goitá","gloria do goita",0.4445,0.4585,0.559,NA,0.487333333333333
"69","Pernambuco","2606200","Goiana","goiana",0.5365,0.5095,0.548,0.389,0.49575
"70","Pernambuco","2606309","Granito","granito",NA,0.5885,0.6265,0.4295,0.548166666666667
"71","Pernambuco","2606408","Gravatá","gravata",0.5145,0.541,0.466,NA,0.507166666666667
"72","Pernambuco","2606507","Iati","iati",0.508,0.5445,0.4555,0.2715,0.444875
"73","Pernambuco","2606606","Ibimirim","ibimirim",0.4705,0.5135,0.575,0.426,0.49625
"74","Pernambuco","2606705","Ibirajuba","ibirajuba",0.5465,0.446,0.4095,0.308,0.4275
"75","Pernambuco","2606804","Igarassu","igarassu",0.5925,0.599,0.542,0.39,0.530875
"76","Pernambuco","2606903","Iguaracy","iguaracy",NA,NA,NA,NA,NA
"77","Pernambuco","2607604","Ilha de Itamaracá","ilha de itamaraca",0.393,0.509,0.472,NA,0.458
"78","Pernambuco","2607000","Inajá","inaja",0.4545,0.484,0.4485,NA,0.462333333333333
"79","Pernambuco","2607109","Ingazeira","ingazeira",0.5145,0.5565,0.519,0.3175,0.476875
"80","Pernambuco","2607208","Ipojuca","ipojuca",NA,0.6295,0.602,0.4245,0.552
